tapology_fighter_id,tapology_url,name,nickname,dob_raw,dob,birth_place,country,fighting_out_of,affiliation_gym,height_in,reach_in,stance,foundation_style,profile_image_url,fetched_at,source_url,source_file
101823-joshua-culibao,https://www.tapology.com/fightcenter/fighters/101823-joshua-culibao,Josh Culibao,Kuya,1994-May 24,1994-05-24,"Sydney, New South Wales, Australia",AU,"Sydney, New South Wales, Australia",Igor MMA Academy,70,73.0,,I Go Ryu Jiu Jitsu,https://images.tapology.com/letterbox_images/101823/default/Joshua-Culibao.jpg?1582292721,2025-12-27T08:32:23.328249,https://www.tapology.com/fightcenter/fighters/101823-joshua-culibao,101823-joshua-culibao-3daacfc26c72.json
101836-alex-gorgees,https://www.tapology.com/fightcenter/fighters/101836-alex-gorgees,Alex Gorgees,Hitman,1995-Aug 11,1995-08-11,Iraq,IQ,"Sydney, New South Wales",Australian Top Team,74,77.0,,Sujitsu,https://images.tapology.com/letterbox_images/101836/default/RIBZ.jpg?1542775837,2025-12-27T16:28:19.627803,https://www.tapology.com/fightcenter/fighters/101836-alex-gorgees,101836-alex-gorgees-b57afee12846.json
101844-nadia-kassem,https://www.tapology.com/fightcenter/fighters/101844-nadia-kassem,Nadia Kassem,187,1995-Nov 15,1995-11-15,"Sydney, New South Wales, Australia",AU,"Wentworthville, Australia",Australian Top Team,65,66.0,,,https://images.tapology.com/letterbox_images/101844/default/Nadia_Kassem.jpg?1544824259,2025-12-27T20:08:09.932870,https://www.tapology.com/fightcenter/fighters/101844-nadia-kassem,101844-nadia-kassem-c96eeed51ce3.json
101975-carlos-felipe-boi,https://www.tapology.com/fightcenter/fighters/101975-carlos-felipe-boi,Carlos Felipe,Boi,1995-Jan 12,1995-01-12,"Feira de Santana, Bahia, Brazil",BR,"Feira de Santana, Bahia, Brazil",LIFE MMA,72,75.0,,,,2025-12-27T13:22:56.184507,https://www.tapology.com/fightcenter/fighters/101975-carlos-felipe-boi,101975-carlos-felipe-boi-58e70ae39e54.json
102094-ludovit-klein,https://www.tapology.com/fightcenter/fighters/102094-ludovit-klein,Ľudovít Klein,Mr. Highlight,1995-Feb 22,1995-02-22,Slovakia,SK,"Nove Zamky, Slovakia",Spartakus Fight Gym,67,72.5,,Boxing,https://images.tapology.com/letterbox_images/102094/default/IMG-20210621-WA0024.jpg?1624346495,2025-12-27T20:13:40.635346,https://www.tapology.com/fightcenter/fighters/102094-ludovit-klein,102094-ludovit-klein-c842505c1269.json
102107-victoria-leonardo,https://www.tapology.com/fightcenter/fighters/102107-victoria-leonardo,Victoria Leonardo,Fury,1990-Feb 16,1990-02-16,"Pomona, New Jersey, United States",US,"Shreveport, Louisiana",Elite Combat Academy,65,64.0,,,https://images.tapology.com/letterbox_images/102107/default/Victoria_Leonardo.jpg?1548305882,2025-12-27T20:28:27.363142,https://www.tapology.com/fightcenter/fighters/102107-victoria-leonardo,102107-victoria-leonardo-2248cd1c0d61.json
102231-tommy-cuozzi,https://www.tapology.com/fightcenter/fighters/102231-tommy-cuozzi,Tommy Cuozzi,Little T,1999-Aug 31,1999-08-31,"Sleepy Hollow, New York, United States",US,"Eden, North Carolina, United States",KAMICUOZZI MMA & FITNESS,69,71.5,,MMA,https://images.tapology.com/letterbox_images/102231/default/434321998_1311034129565015_7619939939482906269_n.jpg?1711647266,2025-12-27T08:33:01.911290,https://www.tapology.com/fightcenter/fighters/102231-tommy-cuozzi,102231-tommy-cuozzi-dd52feb82e79.json
102505-soloman-renfro,https://www.tapology.com/fightcenter/fighters/102505-soloman-renfro,Solomon Renfro,The Black Dragon,1997-Feb 05,1997-02-05,United States,US,"Buffalo, New York",,69,72.5,,,https://images.tapology.com/letterbox_images/102505/default/Solomon_2.jpg?1517889902,2025-12-28T23:19:46.874791,https://www.tapology.com/fightcenter/fighters/102505-soloman-renfro,102505-soloman-renfro-292570d0122e.json
102616-omar-morales,https://www.tapology.com/fightcenter/fighters/102616-omar-morales,Omar Morales,Resilient,1985-Oct 17,1985-10-17,"Caracas, Venezuela",VE,Florida,Hard Knocks 365,71,74.0,,,https://images.tapology.com/letterbox_images/102616/default/5ea61e1a-a8ee-4f31-b485-173702f2b224.jpg?1458825138,2025-12-27T21:25:17.652739,https://www.tapology.com/fightcenter/fighters/102616-omar-morales,102616-omar-morales-feac9ad7f85f.json
102827-mingyang-zhang,https://www.tapology.com/fightcenter/fighters/102827-mingyang-zhang,Mingyang Zhang,Mountain Tiger,1998-Aug 16,1998-08-16,"Fuyang, Anhui, China",CN,"Qingdao, Shandong, China",Sunkin Fight,74,75.0,,,https://images.tapology.com/letterbox_images/102827/default/Mingyang_Zhang.jpg?1667247038,2025-12-28T12:37:58.615462,https://www.tapology.com/fightcenter/fighters/102827-mingyang-zhang,102827-mingyang-zhang-dd41b8cd1d5f.json
103191-sasha-palatnikov,https://www.tapology.com/fightcenter/fighters/103191-sasha-palatnikov,Sasha Palatnikov,,1989-Mar 15,1989-03-15,Hong Kong,HK,"Las Vegas, Nevada, United States",Hybrid MMA,73,72.5,,MMA,https://images.tapology.com/letterbox_images/103191/default/Sasha_Palatnikov.jpg?1604727148,2025-12-27T22:30:13.748437,https://www.tapology.com/fightcenter/fighters/103191-sasha-palatnikov,103191-sasha-palatnikov-795946460d83.json
103262-da-un-jung,https://www.tapology.com/fightcenter/fighters/103262-da-un-jung,Da Woon Jung,Sseda,1993-Dec 18,1993-12-18,South Korea,KR,"Daegu, South Korea",Korean Top Team,76,78.5,,,https://images.tapology.com/letterbox_images/103262/default/Da-Un-Jung.jpg?1592314113,2025-12-27T20:06:10.631934,https://www.tapology.com/fightcenter/fighters/103262-da-un-jung,103262-da-un-jung-795416c5d409.json
103304-kevin-szaflarski,https://www.tapology.com/fightcenter/fighters/103304-kevin-szaflarski,Kevin Szaflarski,,1994-Dec 30,1994-12-30,"Vienna, Austria",PL,"Nowy Targ, Poland",Akademia Sportów Walki Wilanów,78,77.5,,,https://images.tapology.com/letterbox_images/103304/default/Kevin_Szaflarski.jpg?1684372445,2025-12-28T10:07:28.398928,https://www.tapology.com/fightcenter/fighters/103304-kevin-szaflarski,103304-kevin-szaflarski-96e659b003e3.json
103500-karl-reed,https://www.tapology.com/fightcenter/fighters/103500-karl-reed,Karl Reed,No Worries,1988-Oct 27,1988-10-27,"Tabernacle, New Jersey, United States",US,"Simpsonville, South Carolina",Upstate Karate,75,77.0,,Karate/wrestling,https://images.tapology.com/letterbox_images/103500/default/17834238_458769251120985_6771277105062310018_o.jpg?1492282748,2025-12-27T23:32:24.826794,https://www.tapology.com/fightcenter/fighters/103500-karl-reed,103500-karl-reed-5c33f9f24609.json
103506-sean-woodson,https://www.tapology.com/fightcenter/fighters/103506-sean-woodson,Sean Woodson,The Sniper,1992-Jun 07,1992-06-07,"Saint Louis, Missouri, United States",US,"Saint Louis, Missouri",Wolves' Den Training Center,74,78.0,,,https://images.tapology.com/letterbox_images/103506/default/Sean_Woodson.jpg?1572283016,2025-12-28T12:28:36.656680,https://www.tapology.com/fightcenter/fighters/103506-sean-woodson,103506-sean-woodson-ce17f3053899.json
103600-mitchell-sipe,https://www.tapology.com/fightcenter/fighters/103600-mitchell-sipe,Mitchell Sipe,The Sniper,1996-Apr 09,1996-04-09,"Bakersfield, California",US,"Bakersfield, California",,74,76.0,,Wrestling,https://images.tapology.com/letterbox_images/103600/default/IMG_20201006_032400.jpg?1601951087,2025-12-28T06:17:22.565827,https://www.tapology.com/fightcenter/fighters/103600-mitchell-sipe,103600-mitchell-sipe-05a219fee59e.json
10429-chase-waldon,https://www.tapology.com/fightcenter/fighters/10429-chase-waldon,Chase Waldon,,1986-Sep 19,1986-09-19,United States,US,"River Falls, Wisconsin",Spartan MMA,73,75.0,,,https://images.tapology.com/letterbox_images/10429/default/Chase-Waldon.jpg?1430681585,2025-12-28T12:19:54.848431,https://www.tapology.com/fightcenter/fighters/10429-chase-waldon,10429-chase-waldon-6b812d773624.json
104330-saigid-izagahmayev,https://www.tapology.com/fightcenter/fighters/104330-saigid-izagahmayev,Saygid Izagakhmaev,,1994-Sep 03,1994-09-03,"Makhachkala, Russia",RU,"Makhachkala, Russia",Academy MMA,72,74.0,,Combat Sambo,https://images.tapology.com/letterbox_images/104330/default/Saygid_Izagakhmaev.jpg?1666021163,2025-12-29T14:06:58.433616,https://www.tapology.com/fightcenter/fighters/104330-saigid-izagahmayev,104330-saigid-izagahmayev-009e0455abb0.json
10444-mehdi-baghdad,https://www.tapology.com/fightcenter/fighters/10444-mehdi-baghdad,Mehdi Baghdad,The Sultan,1985-Apr 13,1985-04-13,France,FR,California,Team Quest,72,75.0,,,https://images.tapology.com/letterbox_images/10444/default/Mehdi-Baghdad.jpg?1461873798,2025-12-27T06:14:20.062176,https://www.tapology.com/fightcenter/fighters/10444-mehdi-baghdad,10444-mehdi-baghdad-6ad5448e5843.json
104455-david-onama,https://www.tapology.com/fightcenter/fighters/104455-david-onama,David Onama,Silent Assassin,1994-Jun 07,1994-06-07,"Kyangwali, Uganda",UG,"Kansas City, Missouri, United States",Glory MMA and Fitness,71,74.0,,,https://images.tapology.com/letterbox_images/104455/default/David-Onama-440x400-1.png?1658354501,2025-12-27T22:26:47.265016,https://www.tapology.com/fightcenter/fighters/104455-david-onama,104455-david-onama-2e38a54719bd.json
10447-viscardi-andrade,https://www.tapology.com/fightcenter/fighters/10447-viscardi-andrade,Viscardi Andrade,,1984-Mar 08,1984-03-08,"Jales, Sao Paulo, Brazil",BR,"Jales, Sao Paulo, Brazil",Gracie Fusion,71,75.0,,,https://images.tapology.com/letterbox_images/10447/default/Viscardi-Andrade.jpg?1370460620,2025-12-27T06:01:28.253615,https://www.tapology.com/fightcenter/fighters/10447-viscardi-andrade,10447-viscardi-andrade-a047bbc36255.json
104497-james-barnes,https://www.tapology.com/fightcenter/fighters/104497-james-barnes,James Barnes,Mooka,1981-Nov 09,1981-11-09,United States,US,"Los Angeles, California",,68,71.0,,,https://images.tapology.com/letterbox_images/104497/default/James-Barnes.jpg?1481215064,2025-12-27T06:17:07.964351,https://www.tapology.com/fightcenter/fighters/104497-james-barnes,104497-james-barnes-9f0b445b55ad.json
104562-ernesta-kareckaite,https://www.tapology.com/fightcenter/fighters/104562-ernesta-kareckaite,Ernesta Kareckaite,Heavy-Handed,1998-Jul 05,1998-07-05,Lithuania,LT,Lithuania,,69,71.0,,,https://images.tapology.com/letterbox_images/104562/default/ernesta4.jpg?1727693501,2025-12-27T20:07:59.132216,https://www.tapology.com/fightcenter/fighters/104562-ernesta-kareckaite,104562-ernesta-kareckaite-2cfec642b8e7.json
104652-denis-bondar,https://www.tapology.com/fightcenter/fighters/104652-denis-bondar,Denys Bondar,Psycho,1992-Jun 27,1992-06-27,Ukraine,UA,"Kharkiv, Ukraine",,66,69.0,,,https://images.tapology.com/letterbox_images/104652/default/Denys_Bondar.jpg?1644081343,2025-12-27T06:26:32.862692,https://www.tapology.com/fightcenter/fighters/104652-denis-bondar,104652-denis-bondar-f052fe51d659.json
104970-mayana-kellen,https://www.tapology.com/fightcenter/fighters/104970-mayana-kellen,Mayana Souza,Kellen,1986-Jul 07,1986-07-07,Brazil,BR,"Manaus, Amazonas, Brazil",Top Life Amazonas,67,69.5,,,https://images.tapology.com/letterbox_images/104970/default/12931083_636723506466451_4595663393932499188_n.jpg?1463414858,2025-12-27T20:09:17.885714,https://www.tapology.com/fightcenter/fighters/104970-mayana-kellen,104970-mayana-kellen-9a7b5ee0e1a6.json
105452-rafael-garcia-gifted,https://www.tapology.com/fightcenter/fighters/105452-rafael-garcia-gifted,Rafa García,Gifted,1994-Aug 05,1994-08-05,Mexico,MX,"Mexicali, Baja California, Mexico",Bloodline Combat Sports,67,70.0,,,https://images.tapology.com/letterbox_images/105452/default/Rafa_Garcia.jpg?1660330474,2025-12-27T16:21:21.552462,https://www.tapology.com/fightcenter/fighters/105452-rafael-garcia-gifted,105452-rafael-garcia-gifted-a0199c64017e.json
105503-jordan-wright-the-beverly-hills-ninja,https://www.tapology.com/fightcenter/fighters/105503-jordan-wright-the-beverly-hills-ninja,Jordan Wright,The Beverly Hills Ninja,1991-Oct 07,1991-10-07,"Beverly Hills, California",US,"Los Angeles, California",Dynamix MMA,74,77.0,,,https://images.tapology.com/letterbox_images/105503/default/Jordan-Wright.png?1598153451,2025-12-28T12:29:06.469500,https://www.tapology.com/fightcenter/fighters/105503-jordan-wright-the-beverly-hills-ninja,105503-jordan-wright-the-beverly-hills-ninja-1f38c07f0eb0.json
105527-spike-carlyle,https://www.tapology.com/fightcenter/fighters/105527-spike-carlyle,Spike Carlyle,The Alpha Ginger,1993-May 06,1993-05-06,"San Diego, California",US,"San Diego, California",The Treigning Lab,68,71.5,,Freestyle,https://images.tapology.com/letterbox_images/105527/default/2463747_fb_1427421067.1085_updates.jpg?1446640284,2025-12-27T07:14:05.357646,https://www.tapology.com/fightcenter/fighters/105527-spike-carlyle,105527-spike-carlyle-6709fafddbdd.json
105532-josh-kim,https://www.tapology.com/fightcenter/fighters/105532-josh-kim,Josh Wang-Kim,Twin Dragon,1992-Nov 16,1992-11-16,"San Diego, California",US,"San Diego, California",,69,71.0,,,https://images.tapology.com/letterbox_images/105532/default/Wang-Kim_Brothers.jpg?1543342758,2025-12-29T00:40:22.308903,https://www.tapology.com/fightcenter/fighters/105532-josh-kim,105532-josh-kim-c45cce0a7de4.json
105648-antonio-arroyo,https://www.tapology.com/fightcenter/fighters/105648-antonio-arroyo,Antônio Arroyo,,1989-Jul 01,1989-07-01,Brazil,BR,"Soure, Para, Brazil",Marajó Brothers Team,75,73.5,,,https://images.tapology.com/letterbox_images/105648/default/Screenshot_20210604_023812.jpg?1622770711,2025-12-27T06:11:32.450565,https://www.tapology.com/fightcenter/fighters/105648-antonio-arroyo,105648-antonio-arroyo-9ad35a3f4941.json
10578-mack-brewer,https://www.tapology.com/fightcenter/fighters/10578-mack-brewer,Mack Brewer,,,,United States,US,"Atwater, California",,69,,,,,2025-12-27T06:30:22.586770,https://www.tapology.com/fightcenter/fighters/10578-mack-brewer,10578-mack-brewer-540e4df5d581.json
105800-ignacio-carabantes,https://www.tapology.com/fightcenter/fighters/105800-ignacio-carabantes,Ignacio Bahamondes,La Jaula,1997-Aug 27,1997-08-27,"Santiago, Chile",CL,"Chicago, Illinois",VFS Academy,75,75.5,,,https://images.tapology.com/letterbox_images/105800/default/Ignacio-Bahamondes.jpg?1464055525,2025-12-28T14:29:35.919665,https://www.tapology.com/fightcenter/fighters/105800-ignacio-carabantes,105800-ignacio-carabantes-42e7956c6902.json
10584-valerie-letourneau,https://www.tapology.com/fightcenter/fighters/10584-valerie-letourneau,Valérie Létourneau,Trouble,1983-Apr 29,1983-04-29,"Montreal, Quebec, Canada",CA,"Coconut Creek, Florida",,67,68.5,,,https://images.tapology.com/letterbox_images/10584/default/Val%C3%A9rie_Trouble_L%C3%A9tourneau.jpg?1365624576,2025-12-27T20:28:55.187125,https://www.tapology.com/fightcenter/fighters/10584-valerie-letourneau,10584-valerie-letourneau-099d1d76a2c6.json
106035-jordan-vucenic,https://www.tapology.com/fightcenter/fighters/106035-jordan-vucenic,Jordan Vucenic,The Epidemic,1996-Mar 02,1996-03-02,England,EN,England,Blood Sweat and Tears,70,73.0,,,https://images.tapology.com/letterbox_images/106035/default/Jordan_Vucenic.jpg?1647836049,2025-12-28T12:19:33.156780,https://www.tapology.com/fightcenter/fighters/106035-jordan-vucenic,106035-jordan-vucenic-9bacf49f785a.json
106225-rafael-ramos,https://www.tapology.com/fightcenter/fighters/106225-rafael-ramos,Rafael Estevam,Macapá,1996-Aug 10,1996-08-10,"Macapa, Amapa, Brazil",BR,"Rio de Janeiro, Rio de Janeiro, Brazil",Nova União,68,69.0,,,,2025-12-27T10:07:06.088961,https://www.tapology.com/fightcenter/fighters/106225-rafael-ramos,106225-rafael-ramos-7c1470d2ff6f.json
106437-viviane-araujo-vivi,https://www.tapology.com/fightcenter/fighters/106437-viviane-araujo-vivi,Viviane Araujo,Vivi,1986-Nov 21,1986-11-21,"Brasilia, Federal District, Brazil",BR,"Brasilia, Federal District, Brazil",Cerrado MMA,64,68.0,,,https://images.tapology.com/letterbox_images/106437/default/Viviane_Araujo.jpg?1557334235,2025-12-27T06:10:32.922407,https://www.tapology.com/fightcenter/fighters/106437-viviane-araujo-vivi,106437-viviane-araujo-vivi-a2200e185fb8.json
106776-bogdan-grad,https://www.tapology.com/fightcenter/fighters/106776-bogdan-grad,Bogdan Grad,The Unleashed,1995-Sep 28,1995-09-28,"Timosoara, Romania",AT,"Weiz, Austria",ETTL BROS MMA,68,70.0,,,https://images.tapology.com/letterbox_images/106776/default/Bogdan_Grad.jpg?1663016297,2025-12-27T18:16:58.954634,https://www.tapology.com/fightcenter/fighters/106776-bogdan-grad,106776-bogdan-grad-8dbdf5641519.json
106876-elise-reed,https://www.tapology.com/fightcenter/fighters/106876-elise-reed,Elise Reed,,1992-Dec 05,1992-12-05,"Sacramento, California, United States",US,"Princeton, New Jersey",Kickside Martial Arts,63,63.0,,,https://images.tapology.com/letterbox_images/106876/default/Elise_Reed.jpg?1608703511,2025-12-27T23:32:29.082959,https://www.tapology.com/fightcenter/fighters/106876-elise-reed,106876-elise-reed-d57028050517.json
10702-hector-alex-sandoval,https://www.tapology.com/fightcenter/fighters/10702-hector-alex-sandoval,Hector Sandoval,Kid Alex,1986-Jul 19,1986-07-19,"Uruapan, Michoacan, Mexico",MX,"Sacramento, California",Team Alpha Male,62,64.0,,,https://images.tapology.com/letterbox_images/10702/default/12800353_1266076966753956_8897954023330210841_n.jpg?1459065103,2025-12-28T01:35:21.316967,https://www.tapology.com/fightcenter/fighters/10702-hector-alex-sandoval,10702-hector-alex-sandoval-a801e5833db9.json
10711-kiichi-kunimoto-strasser,https://www.tapology.com/fightcenter/fighters/10711-kiichi-kunimoto-strasser,Kiichi Kunimoto,Strasser,1981-May 01,1981-05-01,"Osaka, Japan",JP,"Osaka, Japan",Cobra Kai MMA Dojo,70,73.0,,"Kickboxing, Wrestling",https://images.tapology.com/letterbox_images/10711/default/Klichi-Kunimoto.png?1410798417,2025-12-27T20:17:03.445107,https://www.tapology.com/fightcenter/fighters/10711-kiichi-kunimoto-strasser,10711-kiichi-kunimoto-strasser-430554b00242.json
107316-caio-borralho-cara-de-kombi,https://www.tapology.com/fightcenter/fighters/107316-caio-borralho-cara-de-kombi,Caio Borralho,The Natural,1993-Jan 16,1993-01-16,"Sao Luis, Maranhao, Brazil",BR,"Sao Paulo, Sao Paulo, Brazil",Fighting Nerds,73,75.0,,,https://images.tapology.com/letterbox_images/107316/default/borralho1.jpg?1642020546,2025-12-27T06:27:43.941049,https://www.tapology.com/fightcenter/fighters/107316-caio-borralho-cara-de-kombi,107316-caio-borralho-cara-de-kombi-d3479b796976.json
10739-dayana-silva,https://www.tapology.com/fightcenter/fighters/10739-dayana-silva,Dayana Silva,,1990-Aug 17,1990-08-17,Brazil,BR,"Nova Iguacu, Rio de Janeiro, Brazil",Pejor,67,68.5,,,https://images.tapology.com/letterbox_images/10739/default/Dayana_Silva.jpg?1653709969,2025-12-28T06:02:51.728305,https://www.tapology.com/fightcenter/fighters/10739-dayana-silva,10739-dayana-silva-afed5cc9e9cf.json
10740-kalindra-carvalho-faria,https://www.tapology.com/fightcenter/fighters/10740-kalindra-carvalho-faria,Kalindra Faria,,1986-Jul 23,1986-07-23,"Taubate, Sao Paulo, Brazil",BR,"Taubate, Sao Paulo, Brazil",Vale Top Team,65,62.0,,,,2025-12-27T13:21:04.976229,https://www.tapology.com/fightcenter/fighters/10740-kalindra-carvalho-faria,10740-kalindra-carvalho-faria-df9a57fc9f45.json
107707-shaheen-santana,https://www.tapology.com/fightcenter/fighters/107707-shaheen-santana,Shaheen Santana,Shazam,1991-Jun 04,1991-06-04,"Brooklyn, NY",US,"Miami, Florida",MMA MASTERS,73,75.0,,Kickboxing,https://images.tapology.com/letterbox_images/107707/default/Shaheen_Santana.jpg?1504549704,2025-12-28T01:39:19.885557,https://www.tapology.com/fightcenter/fighters/107707-shaheen-santana,107707-shaheen-santana-453befd9cca5.json
107869-nicolle-caliari,https://www.tapology.com/fightcenter/fighters/107869-nicolle-caliari,Nicolle Caliari,,1996-Nov 04,1996-11-04,"Curitiba, Parana, Brazil",BR,"Florianópolis, Santa Catarina, Brazil",Thai Brasil Floripa,63,62.0,,,https://images.tapology.com/letterbox_images/107869/default/IMG_5523.jpeg?1723217663,2025-12-27T07:11:09.755521,https://www.tapology.com/fightcenter/fighters/107869-nicolle-caliari,107869-nicolle-caliari-0db7ca6f7060.json
108035-rafael-fiziev,https://www.tapology.com/fightcenter/fighters/108035-rafael-fiziev,Rafael Fiziev,Ataman,1993-Mar 05,1993-03-05,Kazakhstan,AZ,"Phuket, Thailand",Tiger Muay Thai,68,71.5,,Muay Thai,https://images.tapology.com/letterbox_images/108035/default/IMG_20220805_202049.jpg?1659727437,2025-12-27T10:14:10.528824,https://www.tapology.com/fightcenter/fighters/108035-rafael-fiziev,108035-rafael-fiziev-05213087fafc.json
108139-dorian-ramos,https://www.tapology.com/fightcenter/fighters/108139-dorian-ramos,Dorian Ramos,,1993-Dec 31,1993-12-31,"Tucson, Arizona, United States",US,"Tucson, Arizona, United States",Apex MMA,67,70.0,,,https://images.tapology.com/letterbox_images/108139/default/ramos1.jpg?1689888649,2025-12-27T23:22:37.893433,https://www.tapology.com/fightcenter/fighters/108139-dorian-ramos,108139-dorian-ramos-33282ec3a7c8.json
108144-evan-elders,https://www.tapology.com/fightcenter/fighters/108144-evan-elders,Evan Elder,The Phenom,1997-Apr 11,1997-04-11,"Hilsboro, Missouri",US,"Deerfield Beach, Florida",Kill Cliff FC,70,71.0,,,https://images.tapology.com/letterbox_images/108144/default/Evan_Elder.jpg?1650755952,2025-12-27T11:38:30.933045,https://www.tapology.com/fightcenter/fighters/108144-evan-elders,108144-evan-elders-199200397ac0.json
108253-ikram-aliskerov,https://www.tapology.com/fightcenter/fighters/108253-ikram-aliskerov,Ikram Aliskerov,,1992-Dec 07,1992-12-07,Russia,RU,"Makhachkala, Russia",KHK MMA Team,72,76.0,,Combat Sambo,https://images.tapology.com/letterbox_images/108253/default/ikram-aliskerov.jpg?1697644549,2025-12-27T05:46:21.994727,https://www.tapology.com/fightcenter/fighters/108253-ikram-aliskerov,108253-ikram-aliskerov-29967946c9da.json
108299-michael-lombardo,https://www.tapology.com/fightcenter/fighters/108299-michael-lombardo,Michael Lombardo,Anvil,1992-Apr 03,1992-04-03,United States,US,"Jupiter, Florida, United States",American Top Team,72,72.0,,,https://images.tapology.com/letterbox_images/108299/default/lombardo1.jpg?1719897555,2025-12-27T20:32:29.378151,https://www.tapology.com/fightcenter/fighters/108299-michael-lombardo,108299-michael-lombardo-0ef12a4e6d9e.json
